rank,s=0.5,s=0.6,s=0.7,s=0.8,s=0.9,s=1.0,s=1.1,s=1.2,s=1.3,s=1.4,s=1.5
99,0.0016262482366217353,0.0016847510816025305,0.001691408683346095,0.0016368423532022382,0.0015197349337722852,0.001349415459519598,0.0011447897965241685,0.0009293344826464508,0.0007245593178109789,0.0005452640891817234,0.00039824704843110094
100,0.0016180965650554205,0.0016746222631839212,0.0016795509853669457,0.0016237344669688982,0.0015060504553530373,0.001335921304924402,0.0011322034240855618,0.0009181936507417667,0.0007151542086944553,0.0005376456899852433,0.0003922883019531997
101,0.0016100662595811804,0.0016646542210432258,0.0016678931705954327,0.0016108604192325677,0.0014926235358366329,0.001322694361311289,0.00111987861834213,0.0009072952491129467,0.0007059629559746746,0.0005302079622640959,0.0003864766828987719
102,0.0016021543381886212,0.0016548428488619184,0.0016564299401652033,0.001598213784558103,0.0014794468488553655,0.0013097267695337273,0.0011078074336392568,0.0008966316796053365,0.000696978651000449,0.000522944895507088,0.0003808071552131886
103,0.0015943579204461796,0.0016451841841246338,0.001645156185837297,0.0015857883747974503,0.0014665133455835039,0.0012970109756547594,0.001095982240450913,0.0008861956535888605,0.000688194673116928,0.0005158507354607061,0.00037527490232606075
104,0.001586674223095201,0.0016356744017462764,0.0016340669813726936,0.0015735782281272924,0.0014538162416544425,0.0012845397162734634,0.0010843957098847208,0.0008759801764968084,0.0006796046750102196,0.0005089199708492355,0.00036987531557203105
105,0.001579100555875356,0.0016263098080396706,0.0016231575743738875,0.0015615775986928188,0.0014413490048133422,0.0012723060046899066,0.0010730407990867674,0.0008659785332766945,0.0006712025689300621,0.0005021473209027621,0.0003646039833266512
106,0.001571634317567181,0.0016170868350025096,0.0016124233785657957,0.001549780946818699,0.0014291053432573524,0.0012603031178532093,0.0010619107374859286,0.0008561842746912916,0.0006629825137301683,0.0004955277236367668,0.00035945668080686837
107,0.001564272992238525,0.001608002034903872,0.0016018599664884541,0.0015381829297511766,0.001417079194619063,0.001248524584041497,0.0010509990138220242,0.0008465912044126863,0.0006549389026705344,0.0004890563248314285,0.00035442936048964624
108,0.001557014145682593,0.0015990520751519635,0.0015914630625759219,0.0015267783928978142,0.0014052647155520669,0.001236964171226298,0.0010402993639063026,0.00083719336685654,0.0006470663519302808,0.00048272846766278586,0.00034951814310589665
